,Title,Rating,Language
0,Machine Learning,4.739922694643843,English
1,Indigenous Canada,4.816438356164384,English
2,The Science of Well-Being,4.929503597999756,English
3,Technical Support Fundamentals,4.76748237245956,English
4,Become a CBRS Certified Professional Installer by Google,4.818181818181818,English
5,Financial Markets,4.811454311454312,English
6,Introduction to Psychology,4.852736318407961,English
7,Programming for Everybody (Getting Started with Python),4.583672665177985,English
8,The Bits and Bytes of Computer Networking,4.628921670475795,English
9,AI For Everyone,4.845112374763065,English
10,Crash Course on Python,4.7251624883936865,English
11,Psychological First Aid,4.841421736158578,English
12,Neural Networks and Deep Learning,4.77123332248617,English
13,What is Data Science?,4.622820062187373,English
14,Successful Negotiation: Essential Strategies and Skills,4.805507145346811,English
15,Fundamentals of Project Planning and Management,4.764134275618375,English
16,Project Launch,4.361111111111111,English
17,"Brand Management: Aligning Business, Brand and Behaviour",4.8964252978918426,English
18,Writing in the Sciences,4.919129082426127,English
19,Stanford Introduction to Food and Health,4.693655589123867,English
20,"HTML, CSS, and Javascript for Web Developers",4.758631512868801,English
21,Excel Skills for Business: Essentials,4.888301477565406,English
22,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.883429672447013,English
23,"Everyday Excel, Part 1",4.755775577557756,English
24,Learning How to Learn: Powerful mental tools to help you master tough subjects,4.801196192401651,English
25,Google Cloud Platform Fundamentals: Core Infrastructure,4.694018534119629,English
26,Viral Marketing and How to Craft Contagious Content,4.7544128933231,English
27,Python Data Structures,4.849851164419541,English
28,Private Equity and Venture Capital,4.762250453720508,English
29,First Step Korean,4.869848156182212,English
30,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.650616332819722,English
31,Operating Systems and You: Becoming a Power User,4.503410641200546,English
32,Tools for Data Science,4.012816072047108,English
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.801784266017843,English
34,Diversity and inclusion in the workplace,4.658333333333333,English
35,Design and Interpretation of Clinical Trials,4.736730360934183,English
36,Visual Elements of User Interface Design,4.6,English
37,Management of Fashion and Luxury Companies,4.7112970711297075,English
38,Primeros Auxilios Psicológicos (PAP),4.870596959584724,Spanish
39,Social Psychology,4.83453237410072,English
40,Initiating and Planning Projects,4.714285714285714,English
41,Computational Thinking for Problem Solving,4.625482625482626,English
42,Agile with Atlassian Jira,4.663421418636996,English
43,Fundamentals of Graphic Design,4.779751332149201,English
44,Introduction to User Experience Design,4.4774774774774775,English
45,Introduction to Marketing,4.746014877789586,English
46,Python for Data Science and AI,4.291478260869566,English
47,Marketing Analytics,4.660468319559229,English
48,Natural Language Processing with Classification and Vector Spaces,4.402439024390244,English
49,Fundamentals of Quantitative Modeling,4.537007874015748,English
50,How to Manage a Remote Team,5.0,English
51,Mathematics for Machine Learning: Linear Algebra,4.57273280584297,English
52,Introduction to Data Science in Python,4.234324104234528,English
53,Customer Analytics,4.451518119490696,English
54,Introduction to Psychology,4.8815566835871405,English
55,English for Career Development,4.865221808330511,English
56,Global Diplomacy – Diplomacy in the Modern World,4.639322916666667,English
57,Game Theory,,English
58,SQL for Data Science,4.494867639113992,English
59,Write Professional Emails in English,4.801294498381877,English
60,Medical Neuroscience,4.904135338345864,Spanish
61,System Administration and IT Infrastructure Services,4.657158529895776,English
62,International Women's Health and Human Rights,4.884297520661157,English
63,Child Nutrition and Cooking,4.770538243626063,English
64,Understanding the Brain: The Neurobiology of Everyday Life,4.897435897435898,English
65,Introduction to Social Media Marketing,4.8125,English
66,Forensic Accounting and Fraud Examination,4.701030927835052,English
67,Clinical Terminology for International and U.S. Students,4.815461346633416,English
68,Science of Exercise,4.836016096579477,English
69,Digital Product Management: Modern Fundamentals,4.727395411605938,English
70,Data Science Math Skills,4.449943117178612,English
71,Structuring Machine Learning Projects,4.7074718526100305,English
72,An Introduction to American Law,4.835374149659864,English
73,The Strategy of Content Marketing,4.4655172413793105,English
74,Introduction to Cybersecurity Tools & Cyber Attacks,4.274461028192372,English
75,The Data Scientist’s Toolbox,4.4799070076386585,English
76,Animal Behaviour and Welfare,4.8075,English
77,Convolutional Neural Networks in TensorFlow,4.469640644361834,English
78,Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.86144578313253,English
79,Introduction to the Biology of Cancer,4.803427419354839,English
80,Convolutional Neural Networks,3.8553750966744005,English
81,Using Python to Access Web Data,4.714109483423284,English
82,Introductory Human Physiology,4.780250347705146,English
83,Introduction to Systematic Review and Meta-Analysis,4.774250440917108,English
84,Organizational Analysis,,English
85,Communication Strategies for a Virtual Age,4.847319347319347,English
86,Moral Foundations of Politics,4.871060171919771,English
87,Étudier en France: French Intermediate course B1-B2,4.845121951219512,English
88,Managing the Company of the Future,4.842298288508557,English
89,Finance for Non-Finance Professionals,4.814516129032258,English
90,Site Reliability Engineering: Measuring and Managing Reliability,4.163265306122449,English
91,Autism Spectrum Disorder,4.634854771784233,English
92,Data Science Methodology,4.338389731621937,English
93,Introduction to Financial Accounting,4.755240027045301,English
94,Marketing in a Digital World,4.725449335764522,English
95,Wind Energy,4.717252396166134,English
96,Principles of Sustainable Finance,4.833333333333333,English
97,Financial Engineering and Risk Management Part I,4.365196078431373,English
98,Introduction to Philosophy,4.698874917273329,English
99,Business Metrics for Data-Driven Companies,4.5539617486338795,English
100,Python Basics,4.794927853082641,English
101,Introduction to Sustainability,4.769771528998243,English
102,Positive Psychiatry and Mental Health,4.819012797074954,English
103,Cryptography I,4.78486646884273,English
104,Learning to Teach Online,4.786637931034483,English
105,IT Security: Defense against the digital dark arts,4.763485477178423,English
106,Entreprise et changement climatique,5.0,French
107,An Introduction to Consumer Neuroscience & Neuromarketing,4.648648648648648,English
108,Gamification,4.75,English
109,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",,English
110,Contabilidad para no contadores,4.763168316831683,Spanish
111,Using Python to Interact with the Operating System,4.55049504950495,English
112,Object-Oriented Data Structures in C++,4.608355091383812,English
113,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.553171196948021,English
114,Databases and SQL for Data Science,4.38131122833459,English
115,Natural Language Processing in TensorFlow,4.254062038404727,English
116,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.572192513368984,English
117,Natural Language Processing with Probabilistic Models,4.555555555555555,English
118,Vital Signs: Understanding What the Body Is Telling Us,4.826943005181347,English
119,Understanding Research Methods,4.579588728103579,English
120,IBM Customer Engagement Specialist Professional Certificate,4.811111111111111,English
121,Introduction to Calculus,4.878402903811252,English
122,Camino a la Excelencia en Gestión de Proyectos,4.564367816091954,Spanish
123,Introduction to HTML5,3.9888089528377297,English
124,Wine Tasting: Sensory Techniques for Wine Analysis,4.490384615384615,English
125,Excel Skills for Business: Intermediate I,4.8965360072926165,English
126,"Programming Foundations with JavaScript, HTML and CSS",4.533483146067415,English
127,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.888130968622101,English
128,Food & Beverage Management,4.815384615384615,English
129,Data Analysis with Python,4.43194925028835,English
130,Project Planning,4.35,English
131,Agile Meets Design Thinking,4.750390015600624,English
132,AWS Fundamentals: Going Cloud-Native,4.680155210643015,English
133,Construction Project Management,4.753846153846154,English
134,Introduction to Mathematical Thinking,4.786036036036036,English
135,Everyday Parenting: The ABCs of Child Rearing,4.929530201342282,English
136,Introduction to Healthcare,4.0,English
137,Machine Learning with Python,4.492443324937028,English
138,Terrorism and Counterterrorism: Comparing Theory and Practice,4.752508361204013,English
139,Data Management for Clinical Research,4.73992673992674,English
140,Sustainable Fashion,4.841269841269841,English
141,Foundations of Data Science: K-Means Clustering in Python,4.6,English
142,Instructional Design Foundations and Applications,3.860215053763441,English
143,Cursos en línea: modelo para armar,4.896551724137931,Spanish
144,Modern Art & Ideas,4.780016792611251,English
145,"Speak English Professionally: In Person, Online & On the Phone",4.749771689497717,English
146,Essential Google Cloud Infrastructure: Foundation,4.707152496626181,English
147,Introduction to Artificial Intelligence (AI),4.737288135593221,English
148,Dog Emotion and Cognition,4.661259541984733,English
149,International Leadership and Organizational Behavior,4.826086956521739,English
150,Driving business towards the Sustainable Development Goals,4.907216494845361,English
151,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.794520547945205,English
152,Digital Transformation,4.7994296577946765,English
153,Sequence Models,4.633866481223922,English
154,Devenir entrepreneur du changement,4.745762711864407,French
155,Seeing Through Photographs,4.77599142550911,English
156,Entrepreneurship 1: Developing the Opportunity,4.77906976744186,English
157,Introduction to Search Engine Optimization,4.585099939430648,English
158,Learn to Speak Korean 1,4.896234309623431,English
159,Circular Economy - Sustainable Materials Management,,English
160,Drug Development,4.520766773162939,English
161,R Programming,4.245404868355688,English
162,Economics of Money and Banking,4.887719298245614,English
163,Chinese for Beginners,4.796844181459566,English
164,Grammar and Punctuation,4.75310008857396,English
165,Japanese for beginners 1,3.611111111111111,English
166,Introduction to English Common Law,4.8392156862745095,English
167,Introduction to Dental Medicine,4.8530805687203795,English
168,Fundamentals of Reinforcement Learning,4.689655172413793,English
169,The Power of Macroeconomics: Economic Principles in the Real World,4.619047619047619,English
170,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.633333333333334,English
171,Behavioral Finance,4.124386252045826,English
172,"Sequences, Time Series and Prediction",4.453815261044177,English
173,Supply Chain Logistics,4.710656316160903,English
174,Project Execution,3.7222222222222223,Romanian
175,Nutrición y obesidad: control de sobrepeso,4.789231779382797,Spanish
176,Microeconomics Principles,4.8293333333333335,English
177,Creative Writing: The Craft of Plot,4.648854961832061,English
178,Astronomy: Exploring Time and Space,4.883544303797469,English
179,Oil & Gas Industry Operations and Markets,4.823214285714286,English
180,Design Thinking for Innovation,4.667032364234778,English
181,EDIVET: Do you have what it takes to be a veterinarian?,4.762755102040816,English
182,Learn to Program: The Fundamentals,4.734966592427617,English
183,Financial Accounting Fundamentals,4.837772397094431,English
184,Finding Purpose and Meaning In Life: Living for What Matters Most,4.795221843003413,English
185,Understanding Clinical Research: Behind the Statistics,4.8317460317460315,English
186,Epidemiology: The Basic Science of Public Health,4.6520710059171595,English
187,Fashion as Design,4.8279773156899815,English
188,Teamwork Skills: Communicating Effectively in Groups,4.772954924874791,English
189,Feminism and Social Justice,4.818998716302953,English
190,International Organizations Management,4.801418439716312,English
191,Marketing Digital,4.709976798143852,English
192,Fundamentals of GIS,4.852253756260434,English
193,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.542168674698795,English
194,"Excel/VBA for Creative Problem Solving, Part 1",4.817808219178082,English
195,Rethinking International Tax Law,4.854460093896714,English
196,Introduction to Probability and Data with R,4.599605522682446,English
197,Understanding and Visualizing Data with Python,4.542207792207792,English
198,Fundamentals of Visualization with Tableau,4.304393305439331,English
199,Getting Started with SAS Programming,4.8808777429467085,English
200,Machine Learning for All,4.675814751286449,English
201,Using Databases with Python,4.7011922503725785,English
202,Addiction Treatment: Clinical Skills for Healthcare Providers,4.924812030075188,English
203,Dino 101: Dinosaur Paleobiology,4.9221476510067115,English
204,Sports Marketing,4.699074074074074,English
205,Positive Psychology,4.659316427783903,English
206,Introduction to Programming with MATLAB,4.811858974358974,English
207,Preparing to Manage Human Resources,4.835942818243703,English
208,Solar Energy Basics,4.767726161369193,English
209,Front-End Web UI Frameworks and Tools: Bootstrap 4,4.813981762917933,English
210,Building Scalable Java Microservices with Spring Boot and Spring Cloud,3.94300518134715,English
211,Introduction to Forensic Science,4.84593023255814,English
212,Google Cloud Product Fundamentals,4.619565217391305,English
213,American Contract Law I,4.852941176470588,English
214,Engineering Health: Introduction to Yoga and Physiology,4.701298701298701,English
215,AI for Medical Diagnosis,4.583657587548638,English
216,Natural Language Processing with Sequence Models,3.967741935483871,English
217,Introduction to Electronics,4.671309192200557,English
218,International Humanitarian Law in Theory and Practice,4.842931937172775,English
219,Making Architecture,4.823275862068965,English
220,Model Thinking,4.772251308900524,English
221,Supporting children with difficulties in reading and writing,4.747282608695652,English
222,Innovation Management,4.636075949367089,English
223,The Manager's Toolkit: A Practical Guide to Managing People at Work,4.6328125,English
224,"The Modern World, Part One: Global History from 1760 to 1910",4.815175097276264,English
225,Fundamentals of Music Theory,,English
226,Supply Chain Principles,4.561933534743202,English
227,Essential Google Cloud Infrastructure: Core Services,4.650331125827814,French
228,Weight Management: Beyond Balancing Calories,4.73936170212766,English
229,Miracles of Human Language: An Introduction to Linguistics,4.666666666666667,English
230,Java Programming: Solving Problems with Software,4.435828877005347,English
231,Race and Cultural Diversity in American Life and History,4.510204081632653,English
232,Inspiring and Motivating Individuals,4.828644501278772,English
233,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.7855855855855856,Spanish
234,Healing with the Arts,4.716814159292035,English
235,People Analytics,4.511758118701008,English
236,What is Social?,4.5860517435320585,English
237,UX Design Fundamentals,4.767068273092369,English
238,Creative Thinking: Techniques and Tools for Success,4.746987951807229,English
239,Introduction to Classical Music,4.909090909090909,English
240,Children's Human Rights - An Interdisciplinary Introduction,4.627976190476191,English
241,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.488188976377953,English
242,Introduction to Data Analysis Using Excel,4.675745784695201,English
243,Mind Control: Managing Your Mental Health During COVID-19,4.818545697131421,English
244,Introduction to International Criminal Law,4.835548172757475,English
245,"FinTech: Foundations, Payments, and Regulations",4.57037037037037,English
246,Greek and Roman Mythology,4.775743707093821,English
247,Politics and Economics of International Energy,4.720125786163522,English
248,Continuous Delivery & DevOps,4.548523206751055,English
249,Teach English Now! Foundational Principles,4.91411501120239,English
250,Business Model Innovation,4.734939759036145,English
251,Introduction to User Experience Principles and Processes,4.7591623036649215,English
252,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.672413793103448,English
253,Process Mining: Data science in Action,4.68,English
254,Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.758620689655173,English
255,Introduction to Corporate Finance,4.437118437118437,English
256,Global Diplomacy: the United Nations in the World,4.679310344827586,English
257,Algorithmic Toolbox,4.535564853556485,English
258,Troubles du spectre de l'autisme : diagnostic,4.872340425531915,French
259,Anatomy: Musculoskeletal and Integumentary Systems,4.808764940239044,English
260,Unraveling the Cycling City,,English
261,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.619565217391305,English
262,English for Business and Entrepreneurship,4.877737226277373,English
263,Natural Language Processing with Attention Models,3.2857142857142856,English
264,What is Compliance?,4.798319327731092,English
265,Getting Started with Google Sheets,4.562162162162162,English
266,Data Visualization with Python,4.045252883762201,English
267,Foundations of Mindfulness,4.82051282051282,English
268,Negociación exitosa: Estrategias y habilidades esenciales (en español),4.818181818181818,Spanish
269,Data-driven Decision Making,4.5073995771670194,English
270,Fundamentals of Engineering Exam Review,4.393939393939394,English
271,Gender and Sexuality: Diversity and Inclusion in the Workplace,4.650406504065041,English
272,Managerial Accounting Fundamentals,4.87012987012987,English
273,Search Engine Optimization Fundamentals,4.719745222929936,English
274,Essentials of Global Health,4.857651245551601,English
275,International Security Management,4.658227848101266,English
276,Getting Started with AWS Machine Learning,4.413344887348353,English
277,Arts and Heritage Management,4.793478260869565,English
278,Understanding Einstein: The Special Theory of Relativity,4.899135446685879,English
279,Réussir le Changement,4.394009216589862,French
280,Equine Welfare and Management,4.892857142857143,English
281,International migrations: a global issue,4.316666666666666,English
282,Introduction to Web Development,4.65335463258786,English
283,Writing and Editing: Word Choice and Word Order,4.742857142857143,English
284,Introduction to the Digital Advertising Landscape,4.488888888888889,English
285,Access Controls,4.466666666666667,English
286,Engineering Project Management: Initiating and Planning,4.764331210191083,English
287,Kotlin for Java Developers,4.557632398753894,English
288,Mathematics for Machine Learning: Multivariate Calculus,4.642241379310345,English
289,Introduction to Git and GitHub,4.791848617176128,English
290,Industrial Biotechnology,4.587743732590529,English
291,The Addicted Brain,4.5479452054794525,English
292,Introducción a la programación en Python I: Aprendiendo a programar con Python,4.205154639175258,Spanish
293,Modernizing Data Lakes and Data Warehouses with GCP,4.604444444444445,English
294,Drug Discovery,4.580310880829016,English
295,Nutrition and Lifestyle in Pregnancy,4.763440860215054,English
296,Financial Acumen for Non-Financial Managers,4.252336448598131,English
297,Python and Statistics for Financial Analysis,4.270022883295194,English
298,Bugs 101: Insect-Human Interactions,4.962962962962963,English
299,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.672897196261682,English
300,"Leading for Equity, Diversity and Inclusion in Higher Education",4.7105263157894735,English
301,Digital Media and Marketing Strategies,,English
302,Enterprise Architecture,4.545454545454546,English
303,Introduction to Spreadsheets and Models,3.6188811188811187,English
304,The Arts and Science of Relationships: Understanding Human Needs,4.431095406360424,English
305,Essentials in Clinical Simulations Across the Health Professions,4.8164556962025316,English
306,Budgeting and Scheduling Projects,4.7305524239007894,English
307,Machine Learning for Business Professionals,4.574370709382151,English
308,Introduction to Accounting Data Analytics and Visualization,4.883720930232558,English
309,Spanish Vocabulary: Meeting People,4.518828451882845,English
310,Gestión Empresarial Exitosa para Pymes,4.8560090702947845,Spanish
311,Public Policy Challenges of the 21st Century,4.5661764705882355,English
